twitter_rank,facebook_rank,other_rank,page_views,number_of_posts,median_page_views_post,cum pageviews,total pageviews,cum percentage pageviews
196,90,64,422,10,21,1924205,1932905,99.55%
188,97,139,418,22,12.5,1924623,1932905,99.57%
84,83,71,416,10,36.5,1925039,1932905,99.59%
170,86,144,404,37,6,1925443,1932905,99.61%
36,0,85,403,5,98,1925846,1932905,99.63%
178,156,204,395,30,6,1926241,1932905,99.66%
172,139,141,392,35,7,1926633,1932905,99.68%
199,63,61,371,10,24,1927004,1932905,99.69%
65,0,108,323,6,52.5,1927327,1932905,99.71%
192,129,146,311,20,5,1927638,1932905,99.73%
190,143,121,299,19,9,1927937,1932905,99.74%
181,128,84,298,20,7.5,1928235,1932905,99.76%
191,131,142,274,15,7,1928509,1932905,99.77%
189,132,117,266,14,10.5,1928775,1932905,99.79%
154,75,133,264,9,17,1929039,1932905,99.80%
195,176,125,262,34,2.5,1929301,1932905,99.81%
168,138,149,254,14,12,1929555,1932905,99.83%
21,0,15,247,1,247,1929802,1932905,99.84%
0,91,94,242,6,20.5,1930044,1932905,99.85%
157,134,114,235,12,16,1930279,1932905,99.86%
107,0,47,230,7,30,1930509,1932905,99.88%
127,174,200,226,7,12,1930735,1932905,99.89%
148,59,203,223,10,7.5,1930958,1932905,99.90%
174,142,134,210,13,17,1931168,1932905,99.91%
88,179,148,209,7,31,1931377,1932905,99.92%
136,52,198,198,6,20,1931575,1932905,99.93%
194,84,147,192,14,3,1931767,1932905,99.94%
162,155,201,183,14,9.5,1931950,1932905,99.95%
0,77,72,176,5,33,1932126,1932905,99.96%
25,0,39,161,1,161,1932287,1932905,99.97%
54,98,36,157,2,78.5,1932444,1932905,99.98%
96,113,78,124,4,38,1932568,1932905,99.98%
179,140,151,117,15,5,1932685,1932905,99.99%
173,175,122,92,18,5,1932777,1932905,99.99%
116,0,73,89,3,18,1932866,1932905,100.00%
0,110,138,14,1,14,1932880,1932905,100.00%
202,0,207,11,3,1,1932891,1932905,100.00%
149,0,0,7,1,7,1932898,1932905,100.00%
155,0,0,6,1,6,1932904,1932905,100.00%
203,0,0,1,1,1,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
